NcMap,RlineMap,WcMap,PRmap,effMap
0.5,1.0,0.2531497418244406,1.2068123572637135,0.7322641028378226
0.5,1.2,0.2848967297762478,1.206401858749645,0.7784685636644473
0.5,1.4,0.3166437177280551,1.2053846899276512,0.8032692169070603
0.5,1.6,0.3483907056798623,1.2019422897808487,0.8073410241689087
0.5,1.8,0.3801376936316695,1.1953589359243457,0.8096696362518592
0.5,2.0,0.4118846815834768,1.1873439982260339,0.8085824519943937
0.5,2.2,0.4436316695352841,1.1761195879562945,0.7751349743708149
0.5,2.4000000000000004,0.4753786574870912,1.1602575631056575,0.7259010323364951
0.5,2.6,0.5071256454388985,1.1384645925424592,0.6513973113573063
0.5,2.8,0.5388726333907057,1.1083399498180113,0.5362185130060851
0.5,3.0,0.570619621342513,1.0619704667078538,0.32681421056386994
0.6,1.0,0.291617900172117,1.3149836706495566,0.712084845715778
0.6,1.2,0.3310258175559381,1.3150757064294079,0.7464693777330591
0.6,1.4,0.370433734939759,1.313463082636864,0.7743925690819798
0.6,1.6,0.40984165232358,1.3098759584938413,0.7943163983742472
0.6,1.8,0.4492495697074011,1.3032000758185087,0.8018846406844912
0.6,2.0,0.488657487091222,1.2918561118143945,0.8033993817192966
0.6,2.2,0.5280654044750431,1.275925147150174,0.7811304720433614
0.6,2.4000000000000004,0.5674733218588641,1.2550752226383763,0.7424336506792155
0.6,2.6,0.6068812392426851,1.2255562460747609,0.670443960253182
0.6,2.8,0.6462891566265061,1.1811022434726597,0.5484965126099558
0.6,3.0,0.6856970740103271,1.1186592816566716,0.3817244333266613
0.7,1.0,0.4108777969018933,1.4406045098868328,0.7463718233010342
0.7,1.2,0.4469982788296041,1.4366833749358174,0.7699697626258323
0.7,1.4,0.483118760757315,1.4334258104248931,0.7877946628467506
0.7,1.6,0.5192392426850259,1.4313249846766498,0.8005750388536035
0.7,1.8,0.5553597246127367,1.4291007927848427,0.8084159413728104
0.7,2.0,0.5914802065404475,1.4180201344380539,0.8052819591207326
0.7,2.2,0.6276006884681583,1.3979025470714828,0.7945683379052743
0.7,2.4000000000000004,0.6637211703958693,1.3734542170890427,0.7644076075178519
0.7,2.6,0.69984165232358,1.3393805727704209,0.7131124029783733
0.7,2.8,0.7359621342512909,1.292919802541073,0.6336911858955177
0.7,3.0,0.7720826161790018,1.2394871603244904,0.533912439047428
0.8,1.0,0.484974182444062,1.5942941859702944,0.744340577947165
0.8,1.2,0.5273803786574871,1.5926272379163162,0.773787792483816
0.8,1.4,0.5697865748709122,1.5913387588326224,0.7928432315980956
0.8,1.6,0.6121927710843373,1.58804496669368,0.804006142724224
0.8,1.8,0.6545989672977626,1.5748719804299023,0.8099296569331303
0.8,2.0,0.6970051635111877,1.555134769907886,0.8034849042420588
0.8,2.2,0.7394113597246128,1.5298206338827158,0.7866289366419025
0.8,2.4000000000000004,0.7818175559380379,1.4975671168988183,0.7552405376423226
0.8,2.6,0.824223752151463,1.4508510919459476,0.6987910521035133
0.8,2.8,0.8666299483648882,1.3818124860480638,0.6093406703461766
0.8,3.0,0.9090361445783132,1.2774371725541156,0.44588070734504304
0.9,1.0,0.6070567986230637,1.782577817703946,0.7560396632093406
0.9,1.2,0.6465886402753873,1.782537989191921,0.7836062662732721
0.9,1.4,0.6861204819277109,1.7811415781739666,0.80067503277897
0.9,1.6,0.7256523235800345,1.777322821156116,0.804077273088315
0.9,1.8,0.7651841652323581,1.762661423091345,0.8040551221109957
0.9,2.0,0.8047160068846817,1.7419693149422768,0.8040026552817849
0.9,2.2,0.8442478485370053,1.7157088477598939,0.7922879225889605
0.9,2.4000000000000004,0.8837796901893289,1.6806908932847573,0.7711052087225521
0.9,2.6,0.9233115318416524,1.6331992467084386,0.7379453903444202
0.9,2.8,0.962843373493976,1.5672055978110662,0.6839022942880288
0.9,3.0,1.0023752151462997,1.4781706915985753,0.5911868982057065
1.0,1.0,0.7606368330464717,1.994432579958851,0.7789938456782011
1.0,1.2,0.8001497418244407,1.9859187843419013,0.7924720675711393
1.0,1.4,0.8396626506024097,1.9729169364708081,0.7986093988387288
1.0,1.6,0.8791755593803788,1.9565754315131856,0.8010908683335062
1.0,1.8,0.9186884681583476,1.9372912045875477,0.8014510096342646
1.0,2.0,0.9582013769363168,1.9093641458262107,0.7936183650019077
1.0,2.2,0.9977142857142858,1.883410873474492,0.7774845916739167
1.0,2.4000000000000004,1.0372271944922546,1.8514252468421706,0.7556318032659315
1.0,2.6,1.0767401032702235,1.7955478880296178,0.7196297357467396
1.0,2.8,1.1162530120481928,1.6899010413913222,0.6412308331413293
1.0,3.0,1.155765920826162,1.530253540332802,0.4992147725108431
