NpMap,PRmap,WpMap,effMap
0.3,1.45,1.0185739805399767,0.511264280400899
0.3,1.5,1.0463375749301709,0.4948273854943301
0.3,1.55,1.069641865008667,0.4805686454099544
0.3,1.6,1.089338859659154,0.4680577416738994
0.3,1.65,1.1060912328746928,0.4569737098623591
0.3,1.7,1.120420513820509,0.4470717497239257
0.3,1.75,1.1327413909040471,0.4381615442081158
0.3,1.8,1.143386614018188,0.4300926587953038
0.3,1.85,1.1526253725042872,0.422744445510731
0.3,1.9,1.1606770517841578,0.4160188983633253
0.3,1.95,1.167721658960683,0.4098354931423027
0.3,2.0,1.1739078109640575,0.4041273922529068
0.5,1.45,0.9982103264602528,0.7401020340393194
0.5,1.5,1.0281416797358818,0.7214579211772693
0.5,1.55,1.0535267414339264,0.7048956426375774
0.5,1.6,1.0751977657869447,0.6900835753595305
0.5,1.65,1.0938080095437186,0.6767529555389967
0.5,1.7,1.1098761924113645,0.6646857256308146
0.5,1.75,1.1238183678175533,0.6537040267323843
0.5,1.8,1.135971222277818,0.6436617632206544
0.5,1.85,1.1466093922284966,0.6344380113784704
0.5,1.9,1.1559585179149323,0.6259319121683427
0.5,1.95,1.1642052058377033,0.6180587139790185
0.5,2.0,1.1715047151170237,0.6107466938429933
0.7,1.45,0.9452825418961448,0.878233792410426
0.7,1.5,0.9800271320095828,0.8648013087900122
0.7,1.55,1.00993109759426,0.8518661763269775
0.7,1.6,1.0358148761389274,0.8396093004435591
0.7,1.65,1.0583347684612867,0.8280870816747207
0.7,1.7,1.0780209609952718,0.817295493701432
0.7,1.75,1.0953054813534977,0.8072019293174891
0.7,1.8,1.1105431029111783,0.7977614339694884
0.7,1.85,1.1240272014201655,0.7889250664389338
0.7,1.9,1.13600193136099,0.7806441678615317
0.7,1.95,1.1466716774758587,0.7728724596448642
0.7,2.0,1.1562084618277606,0.7655669767142864
0.9,1.45,0.8756452691219984,0.9133252758870816
0.9,1.5,0.9154908276082344,0.9156901411650472
0.9,1.55,0.9501565431519816,0.9145906888085354
0.9,1.6,0.9804506595186128,0.911431111426214
0.9,1.65,1.0070356003275882,0.9070496815518736
0.9,1.7,1.030457600743113,0.9019620666056748
0.9,1.75,1.0511696890282436,0.8964925921465144
0.9,1.8,1.069549640704293,0.8908483613864951
0.9,1.85,1.085914103214934,0.8851627331932935
0.9,1.9,1.1005297820198865,0.8795216590732466
0.9,1.95,1.1136223557256275,0.8739800786254647
0.9,2.0,1.1253836242172817,0.8685723668117923
1.0,1.45,0.827550274001085,0.883797362775743
1.0,1.5,0.8737013202635275,0.8997027797938305
1.0,1.55,0.9133877176080232,0.9088296617954924
1.0,1.6,0.9476007734125108,0.9136033853582168
1.0,1.65,0.977178043408148,0.9155139997299344
1.0,1.7,1.002823414096317,0.9155100446763405
1.0,1.75,1.0251270463061897,0.9142130763140696
1.0,1.8,1.0445835155719965,0.9120401550993577
1.0,1.85,1.0616076011718536,0.9092766086928956
1.0,1.9,1.0765476967856864,0.9061207405574584
1.0,1.95,1.0896970409072844,0.9027121114488856
1.0,2.0,1.1013030444951817,0.8991498871847641
1.1,1.45,0.7181327531506553,0.8704059813160173
1.1,1.5,0.7881629731616617,0.8704059813160173
1.1,1.55,0.8463813762798149,0.8738256529346882
1.1,1.6,0.8944496171834,0.8894707815866727
1.1,1.65,0.9339987111284804,0.9000205159891321
1.1,1.7,0.966499065910146,0.9070125538238336
1.1,1.75,0.993216463243451,0.911472596927056
1.1,1.8,1.0152113984989102,0.9141029588648812
1.1,1.85,1.0333579287482986,0.9153953092946108
1.1,1.9,1.048369377046781,0.9157004349288688
1.1,1.95,1.0608245989532583,0.9152727116380514
1.1,2.0,1.0711919827824434,0.914299203133134
