NpMap,PRmap,WpMap,effMap
0.3,1.45,0.9982025009291772,0.41421720758134806
0.3,1.5,1.0254108234315675,0.3958136016970716
0.3,1.55,1.0482490277084937,0.37984877169658815
0.3,1.6,1.067552082465971,0.365840910544999
0.3,1.65,1.083969408217199,0.3534306497124101
0.3,1.7,1.0980121035440988,0.34234389805369414
0.3,1.75,1.1100865630859662,0.3323675666606317
0.3,1.8,1.1205188817378242,0.32333322118924746
0.3,1.85,1.1295728650542014,0.3151057778666745
0.3,1.9,1.1374635107484747,0.3075755040673629
0.3,1.95,1.1443672257814692,0.3006522406798845
0.3,2.0,1.1504296547447763,0.2942611528428414
0.5,1.45,0.9782461199310477,0.6704359066326859
0.5,1.5,1.007578846141164,0.6495609842628887
0.5,1.55,1.0324562066052478,0.6310169923153413
0.5,1.6,1.0536938104712057,0.6144326282936656
0.5,1.65,1.0719318493528442,0.5995069702077103
0.5,1.7,1.0876786685631372,0.5859958694427851
0.5,1.75,1.1013420004612022,0.5737001858836152
0.5,1.8,1.1132517978322616,0.5624563432414098
0.5,1.85,1.1236772043839267,0.5521289490077166
0.5,1.9,1.1328393475566336,0.5426050761372276
0.5,1.95,1.140921101720949,0.5337898323001928
0.5,2.0,1.1480746208146833,0.525602912716767
0.7,1.45,0.9263768910582219,0.8250954366481764
0.7,1.5,0.9604265893693912,0.8100557265324719
0.7,1.55,0.9897324756423747,0.7955728767446166
0.7,1.6,1.0150985786161488,0.781849438442363
0.7,1.65,1.037168073092061,0.7689485606099343
0.7,1.7,1.0564605417753663,0.7568657351702867
0.7,1.75,1.0733993717264276,0.7455644533925821
0.7,1.8,1.0883322408529548,0.7349943818112692
0.7,1.85,1.1015466573917623,0.725100723282373
0.7,1.9,1.1132818927337702,0.7158289968004284
0.7,1.95,1.1237382439263415,0.7071273864366618
0.7,2.0,1.1330842925912055,0.6989477862498328
0.9,1.45,0.8581323637395584,0.8643856940520172
0.9,1.5,0.8971810110560697,0.8670335207122517
0.9,1.55,0.931153412288942,0.8658025164396811
0.9,1.6,0.9608416463282405,0.8622648886069522
0.9,1.65,0.9868948883210364,0.8573592109181126
0.9,1.7,1.0098484487282506,0.8516628515453104
0.9,1.75,1.0301462952476788,0.8455389423208087
0.9,1.8,1.0481586478902072,0.8392193668159613
0.9,1.85,1.0641958211506353,0.832853440583118
0.9,1.9,1.0785191863794887,0.8265373994172258
0.9,1.95,1.091349908611115,0.8203327565624349
0.9,2.0,1.102875951732936,0.8142780000211127
1.0,1.45,0.8109992685210633,0.8313247005629693
1.0,1.5,0.856227293858257,0.8491332360491313
1.0,1.55,0.8951199632558627,0.8593521697507609
1.0,1.6,0.9286487579442606,0.8646970799389835
1.0,1.65,0.957634482539985,0.8668363035632627
1.0,1.7,0.9827669458143907,0.866831875278723
1.0,1.75,1.0046245053800658,0.8653797217716716
1.0,1.8,1.0236918452605566,0.8629468057081175
1.0,1.85,1.0403754491484165,0.8598525948369931
1.0,1.9,1.0550167428499726,0.8563191200707754
1.0,1.95,1.0679031000891386,0.8525026409196691
1.0,2.0,1.079276983605278,0.848514188611557
1.1,1.45,0.7037700980876421,0.8163310105727567
1.1,1.5,0.7723997136984285,0.8163310105727567
1.1,1.55,0.8294537487542186,0.820159853494817
1.1,1.6,0.876560624839732,0.837676956533838
1.1,1.65,0.9153187369059108,0.8494889900858115
1.1,1.7,0.947169084591943,0.8573176407749614
1.1,1.75,0.973352133978582,0.8623113379400985
1.1,1.8,0.994907170528932,0.8652564285251453
1.1,1.85,1.0126907701733325,0.8667034115537714
1.1,1.9,1.0274019895058453,0.8670450461477744
1.1,1.95,1.0396081069741931,0.8665661448153468
1.1,2.0,1.0497681431267945,0.8654761538559027
