NpMap,PRmap,WpMap,effMap
0.3,1.45,0.9982025009291772,0.49423917986354904
0.3,1.5,1.0254108234315675,0.47834963355736887
0.3,1.55,1.0482490277084937,0.46456570951780296
0.3,1.6,1.067552082465971,0.45247141887615855
0.3,1.65,1.083969408217199,0.4417564853239425
0.3,1.7,1.0980121035440988,0.432184260458119
0.3,1.75,1.1100865630859662,0.42357076478598554
0.3,1.8,1.1205188817378242,0.4157705732574202
0.3,1.85,1.1295728650542014,0.40866705547522364
0.3,1.9,1.1374635107484747,0.4021654690478266
0.3,1.95,1.1443672257814692,0.396187971220664
0.3,2.0,1.1504296547447763,0.390669950090885
0.5,1.45,0.9782461199310477,0.71545663630581
0.5,1.5,1.007578846141164,0.6974333724020662
0.5,1.55,1.0324562066052478,0.6814226177377462
0.5,1.6,1.0536938104712057,0.6671037923000581
0.5,1.65,1.0719318493528442,0.6542170821195481
0.5,1.7,1.0876786685631372,0.6425516909673085
0.5,1.75,1.1013420004612022,0.6319356826421959
0.5,1.8,1.1132517978322616,0.6222278265054066
0.5,1.85,1.1236772043839267,0.6133112255995674
0.5,1.9,1.1328393475566336,0.6050883794931369
0.5,1.95,1.140921101720949,0.5974773588035172
0.5,2.0,1.1480746208146833,0.5904088289380216
0.7,1.45,0.9263768910582219,0.8489886071231588
0.7,1.5,0.9604265893693912,0.8360034252073048
0.7,1.55,0.9897324756423747,0.8234990326552891
0.7,1.6,1.0150985786161488,0.8116503107387886
0.7,1.65,1.037168073092061,0.8005117818549525
0.7,1.7,1.0564605417753663,0.7900795537611742
0.7,1.75,1.0733993717264276,0.7803221050712168
0.7,1.8,1.0883322408529548,0.7711959782183044
0.7,1.85,1.1015466573917623,0.7626538617265173
0.7,1.9,1.1132818927337702,0.7546487170717426
0.7,1.95,1.1237382439263415,0.7471358067386902
0.7,2.0,1.1330842925912055,0.7400735963897007
0.9,1.45,0.8581323637395584,0.8829115442000418
0.9,1.5,0.8971810110560697,0.8851976594642511
0.9,1.55,0.931153412288942,0.8841348188712113
0.9,1.6,0.9608416463282405,0.8810804554157211
0.9,1.65,0.9868948883210364,0.8768449271561962
0.9,1.7,1.0098484487282506,0.8719267297877058
0.9,1.75,1.0301462952476788,0.8666393888280355
0.9,1.8,1.0481586478902072,0.8611831109523249
0.9,1.85,1.0641958211506353,0.8556868141779569
0.9,1.9,1.0785191863794887,0.8502335878261076
0.9,1.95,1.091349908611115,0.8448765420072367
0.9,2.0,1.102875951732936,0.8396489069969596
1.0,1.45,0.8109992685210633,0.8543669105953107
1.0,1.5,0.856227293858257,0.869742677226696
1.0,1.55,0.8951199632558627,0.8785656340577025
1.0,1.6,0.9286487579442606,0.8831803926257882
1.0,1.65,0.957634482539985,0.8850273835389276
1.0,1.7,0.9827669458143907,0.8850235601886183
1.0,1.75,1.0046245053800658,0.883769780872811
1.0,1.8,1.0236918452605566,0.881669217934549
1.0,1.85,1.0403754491484165,0.8789976976234222
1.0,1.9,1.0550167428499726,0.875946919896895
1.0,1.95,1.0679031000891386,0.8726517981376377
1.0,2.0,1.079276983605278,0.8692081959415114
1.1,1.45,0.7037700980876421,0.8414214621381939
1.1,1.5,0.7723997136984285,0.8414214621381939
1.1,1.55,0.8294537487542186,0.8447272586919631
1.1,1.6,0.876560624839732,0.8598514045598366
1.1,1.65,0.9153187369059108,0.870049832806694
1.1,1.7,0.947169084591943,0.8768090357814999
1.1,1.75,0.973352133978582,0.8811205594493849
1.1,1.8,0.994907170528932,0.8836633303346807
1.1,1.85,1.0126907701733325,0.8849126454951002
1.1,1.9,1.0274019895058453,0.8852076104457375
1.1,1.95,1.0396081069741931,0.8847941303405042
1.1,2.0,1.0497681431267945,0.8838530396688006
