NpMap,PRmap_tt,WpMap,PR_ts,eta_tt,eta_ts,nu
0.3,1.42,1.0436240049782293,1.494702143891213,0.4964570502676746,0.4374803009551508,0.23710706926513458
0.3,1.468,1.0727119318223006,1.557268898663118,0.47864988229376676,0.4196476728314731,0.22676683007250023
0.3,1.516,1.0966679035633824,1.620903356760084,0.46326583029225377,0.4043033339576608,0.2180059414630168
0.3,1.565,1.1168914402927033,1.686957189290239,0.449552215305908,0.390673594312697,0.2103249552447917
0.3,1.613,1.1333630849142475,1.7527296098624965,0.43770054573161465,0.37893135472355555,0.20378081794229833
0.3,1.661,1.1471543409739153,1.8195554022361284,0.42713875391316936,0.3684960225389744,0.19801995407646164
0.3,1.709,1.1587547160719498,1.887433981527363,0.41765526138434667,0.3591493620937818,0.1929026966428697
0.3,1.757,1.168554196153375,1.9563661944721258,0.40908357417071994,0.35072033214654164,0.18832148462842171
0.3,1.805,1.176865585690708,2.026353614762168,0.4012907413826313,0.34307285001067844,0.1841920365489806
0.3,1.854,1.1840772639922579,2.0988904133464423,0.3940272247836564,0.33595824634204374,0.1803729217281536
0.3,1.902,1.1841779955610192,2.1,0.39392185054376977,0.3358551278553844,0.1803177258437392
0.3,1.95,1.1841779955610192,2.1,0.39392185054376977,0.3358551278553844,0.1803177258437392
0.5,1.42,1.0053813367328766,1.461232690764592,0.735712583052969,0.6839997233259653,0.4059090148585281
0.5,1.468,1.037580779652036,1.5176620871607887,0.7153881851185389,0.6626122703295022,0.3884666233220731
0.5,1.516,1.0646771772024977,1.574757755570371,0.6973606835744133,0.6437002648951011,0.37367294600174134
0.5,1.565,1.0880472480934045,1.633711204055457,0.6809473251347958,0.626532741267502,0.3606930183291383
0.5,1.613,1.1074890515760687,1.6921018724331434,0.666515550623117,0.6114801622708632,0.34962814096237294
0.5,1.661,1.12410774245107,1.751114934787665,0.6534703479509815,0.5979091617016804,0.33988378745056314
0.5,1.709,1.1383758754392475,1.8107409811377666,0.6416150106375658,0.5856059580576278,0.33122565079318167
0.5,1.757,1.1506763035400136,1.8709725882967005,0.6307879461149575,0.5743953889236526,0.3234729387905152
0.5,1.805,1.1613211695683514,1.9318033910002348,0.620855548159057,0.5641330062468916,0.3164837841885549
0.5,1.854,1.1707458721656436,1.9945139083414978,0.6115235343223395,0.5545102888665102,0.31001933103551155
0.5,1.902,1.1787803288828627,2.056540024479935,0.6030778846398627,0.5458179094442019,0.3042507429223595
0.5,1.95,1.183761145077876,2.1,0.5975704894480759,0.5401580831221422,0.3005295430728987
0.7,1.42,0.9437765432096763,1.447997706957398,0.878777162848871,0.8356056326648666,0.5747039265671594
0.7,1.468,0.9807794022426312,1.5011712086645823,0.8644915658811563,0.8205046221337772,0.5505325723154091
0.7,1.516,1.012610934199465,1.5548585160226056,0.8506438427107074,0.805820084749927,0.5299705791830814
0.7,1.565,1.040649358985534,1.6101705966498514,0.8372055424574903,0.7915487789677154,0.5118862067989366
0.7,1.613,1.0644486426330342,1.664831258832773,0.8248109133600744,0.7783792330413305,0.4964400148402457
