RNI,Re_U,s_effRe,s_WcRe,lossDeficitS,eta_max
0.11,333300.0,0.9493166728666915,1.0,1.22035050780417,0.7717944550406202
0.1122,339966.0,0.9504261764857873,1.0,1.2155268369895986,0.772696481482945
0.1399,423897.0,0.9624957585516949,1.0,1.163053199451722,0.7825090517025279
0.1419,429957.0,0.9632541450792208,1.0,1.1597560430513023,0.7831256199494064
0.1779,539037.0,0.9686304017365409,1.0,1.1363822641079793,0.7874965166118078
0.2262,685386.0,0.9742202697742995,1.0,1.1120797896978312,0.7920410793265055
0.2876,871428.0000000001,0.9796895370973502,1.0,1.0883016381810393,0.7964875936601457
0.3657,1108071.0,0.9850438825583647,1.0,1.0650231202141678,0.8008406765199505
0.3993,1209879.0,0.9869741755372702,1.0,1.056630990845986,0.8024100047118006
0.465,1408950.0,0.9891860165105509,1.0,1.047014805224182,0.8042082314230778
0.5913,1791639.0000000002,0.9926331403921463,1.0,1.0320281115571392,0.8070107431388149
0.752,2278560.0,0.9960327021069888,1.0,1.0172481988610593,0.8097745868129819
0.9562,2897286.0,0.999381058758358,1.0,1.0026909049703472,0.812496800770545
1.0,3030000.0,1.0,1.0,1.0,0.813
1.2159,3684177.0,1.0026820711155442,1.0,0.9883394448292117,0.8151805238169374
1.5461,4684683.0,1.0059355453449417,1.0,0.9741946611473927,0.8178255983654376
1.966,5956980.0,1.0091426464822206,1.0,0.9602514888232867,0.8204329715900454
2.5,7575000.0,1.012304163621556,1.0,0.9465064971961233,0.823003285024325
