NcMap,RlineMap,WcMap,PRmap,effMap
0.5,1.0,0.2531497418244406,1.2016858,0.5711093331923827
0.5,1.2,0.2848967297762478,1.201277045289868,0.5953875369020596
0.5,1.4,0.3166437177280551,1.2002641974165134,0.607641700351767
0.5,1.6,0.3483907056798623,1.1968364206379345,0.6074773962151484
0.5,1.8,0.3801376936316695,1.1902810329688254,0.6041660886078991
0.5,2.0,0.4118846815834768,1.182300142847859,0.5978535947343071
0.5,2.2,0.4436316695352841,1.1711234140438032,0.5729581187426923
0.5,2.4000000000000004,0.4753786574870912,1.155328771316183,0.5366164664831684
0.5,2.6,0.5071256454388985,1.133628377623669,0.4829972450394046
0.5,2.8,0.5388726333907057,1.103631704840071,0.4024074024374065
0.5,3.0,0.570619621342513,1.0574592,0.2620606893656993
0.6,1.0,0.291617900172117,1.3093976,0.6027546410547463
0.6,1.2,0.3310258175559381,1.3094892448104574,0.6241870322376584
0.6,1.4,0.370433734939759,1.3078834714683318,0.6408345536364892
0.6,1.6,0.40984165232358,1.3043115854832716,0.6517320232091656
0.6,1.8,0.4492495697074011,1.297664062059164,0.6539359059374337
0.6,2.0,0.488657487091222,1.2863682873868165,0.6506340512389572
0.6,2.2,0.5280654044750431,1.2705049977029905,0.6313379572755459
0.6,2.4000000000000004,0.5674733218588641,1.2497436439878955,0.6002932846543728
0.6,2.6,0.6068812392426851,1.2203500644860592,0.5461192432255785
0.6,2.8,0.6462891566265061,1.176084903163689,0.45631839772236127
0.6,3.0,0.6856970740103271,1.1139072,0.3315933961253433
0.7,1.0,0.4108777969018933,1.4344848,0.6531696707575998
0.7,1.2,0.4469982788296041,1.430580322089944,0.6683296345815536
0.7,1.4,0.483118760757315,1.4273365957626485,0.6795932152023566
0.7,1.6,0.5192392426850259,1.4252446943541626,0.6876441639404647
0.7,1.8,0.5553597246127367,1.4230299508633684,0.6923613773897624
0.7,2.0,0.5914802065404475,1.4119963633219061,0.6879636370398242
0.7,2.2,0.6276006884681583,1.3919642357726973,0.676517362831221
0.7,2.4000000000000004,0.6637211703958693,1.3676197626681745,0.6512890061523449
0.7,2.6,0.69984165232358,1.3336908637092861,0.6099547799765253
0.7,2.8,0.7359621342512909,1.2874274595390967,0.5471956443044792
0.7,3.0,0.7720826161790018,1.2342217999999998,0.4691866548719592
0.8,1.0,0.484974182444062,1.5875216,0.672608211550539
0.8,1.2,0.5273803786574871,1.5858617331667293,0.693518756298058
0.8,1.4,0.5697865748709122,1.5845787275617962,0.7069311182568729
0.8,1.6,0.6121927710843373,1.5812989275019982,0.7144484009389512
0.8,1.8,0.6545989672977626,1.5681819002843878,0.7169975567590671
0.8,2.0,0.6970051635111877,1.5485285337331078,0.709920507228222
0.8,2.2,0.7394113597246128,1.5233219325431038,0.6947245967942179
0.8,2.4000000000000004,0.7818175559380379,1.4912054289903156,0.6683497091088666
0.8,2.6,0.824223752151463,1.4446878544225545,0.6223748293649106
0.8,2.8,0.8666299483648882,1.3759425255734283,0.5499419975826282
0.8,3.0,0.9090361445783132,1.2720106,0.42034965749748726
0.9,1.0,0.6070567986230637,1.7750054,0.6968722407239983
0.9,1.2,0.6465886402753873,1.7749657406801005,0.7174873244020367
0.9,1.4,0.6861204819277109,1.7735752616374063,0.730094679500319
0.9,1.6,0.7256523235800345,1.7697727267574965,0.7323410928421461
0.9,1.8,0.7651841652323581,1.75517361053488,0.731223319128261
0.9,2.0,0.8047160068846817,1.7345694027762035,0.7295650441206261
0.9,2.2,0.8442478485370053,1.7084204904581473,0.7188013581787126
0.9,2.4000000000000004,0.8837796901893289,1.6735512927866634,0.7002867653087305
0.9,2.6,0.9233115318416524,1.6262613914479171,0.6718126759041448
0.9,2.8,0.962843373493976,1.5605480845756137,0.6262265225184354
0.9,3.0,1.0023752151462997,1.4718913999999998,0.5500263306674257
1.0,1.0,0.7606368330464717,1.9859601999999998,0.7259098608113448
1.0,1.2,0.8001497418244407,1.977482571116428,0.7358913535621305
1.0,1.4,0.8396626506024097,1.9645359552930046,0.7399761835510921
1.0,1.6,0.8791755593803788,1.9482638692971919,0.7410610899456944
1.0,1.8,0.9186884681583476,1.929061562061078,0.7403393994669143
1.0,2.0,0.9582013769363168,1.901253137870464,0.7328770946045553
1.0,2.2,0.9977142857142858,1.8754101154147553,0.7191819059778932
1.0,2.4000000000000004,1.0372271944922546,1.843560364211252,0.7007874219726918
1.0,2.6,1.0767401032702235,1.7879203732694982,0.6702450445501854
1.0,2.8,1.1162530120481928,1.6827223160438751,0.6044665611423395
1.0,3.0,1.155765920826162,1.5237530000000001,0.4867669074441774
