NcMap,betaMap,WcMap,PRmap,effMap
0.5,0.0,0.2531497418244406,1.2507342000000001,0.77379
0.5,0.1,0.2848967297762478,1.2503087614241482,0.815416760229463
0.5,0.2,0.3166437177280551,1.249254572821269,0.8377602921654405
0.5,0.3,0.3483907056798623,1.2456868867864217,0.8414286856832344
0.5,0.4,0.3801376936316695,1.2388639322736756,0.8435265908445593
0.5,0.5,0.4118846815834768,1.230557291535527,0.8425471192177703
0.5,0.6000000000000001,0.4436316695352841,1.2189243697190604,0.812413445836287
0.5,0.7000000000000001,0.4753786574870912,1.2024850476964353,0.768057349832826
0.5,0.8,0.5071256454388985,1.1798989236491249,0.7009350747555158
0.5,0.9,0.5388726333907057,1.1486778968743596,0.5971675999985939
0.5,1.0,0.570619621342513,1.1006208,0.40851000000000004
0.6,0.0,0.291617900172117,1.3628424,0.75561
0.6,0.1,0.3310258175559381,1.362937785414966,0.7865878892400987
0.6,0.2,0.370433734939759,1.3612664703037738,0.8117445942492642
0.6,0.3,0.40984165232358,1.3575487930540173,0.8296944728965668
0.6,0.4,0.4492495697074011,1.3506299421432113,0.8365128926415597
0.6,0.5,0.488657487091222,1.3388731154434215,0.8378775609168194
0.6,0.6000000000000001,0.5280654044750431,1.3223623445480104,0.8178149404021013
0.6,0.7000000000000001,0.5674733218588641,1.3007535886404629,0.7829520012886674
0.6,0.8,0.6068812392426851,1.270160271199776,0.7180946795334708
0.6,0.9,0.6462891566265061,1.2240883685989417,0.6082291584815631
0.6,1.0,0.6856970740103271,1.1593728,0.45798
0.7,0.0,0.4108777969018933,1.4930352,0.7865
0.7,0.1,0.4469982788296041,1.4889713556446358,0.8077599767340374
0.7,0.2,0.483118760757315,1.4855952323243895,0.8238188774188542
0.7,0.3,0.5192392426850259,1.4834179471849447,0.8353330394318234
0.7,0.4,0.5553597246127367,1.4811128060006487,0.842397105613103
0.7,0.5,0.5914802065404475,1.4696288679472902,0.839573622221312
0.7,0.6000000000000001,0.6276006884681583,1.44877910253893,0.8299214515532325
0.7,0.7000000000000001,0.6637211703958693,1.423440977470957,0.8027488913778468
0.7,0.8,0.69984165232358,1.3881272254933386,0.756535752168229
0.7,0.9,0.7359621342512909,1.3399755191121212,0.6849831812369152
0.7,1.0,0.7720826161790018,1.2845982,0.59509
0.8,0.0,0.484974182444062,1.6523184,0.78467
0.8,0.1,0.5273803786574871,1.6505907835000653,0.8111997358093265
0.8,0.2,0.5697865748709122,1.6492554103194208,0.8283672599160068
0.8,0.3,0.6121927710843373,1.6458417408694266,0.8384242071586937
0.8,0.4,0.6545989672977626,1.6321893247857913,0.8437608500126208
0.8,0.5,0.6970051635111877,1.6117337800079288,0.8379546103074096
0.8,0.6000000000000001,0.7394113597246128,1.5854983379530263,0.8227686453773095
0.8,0.7000000000000001,0.7818175559380379,1.5520709567042061,0.7944900476885486
0.8,0.8,0.824223752151463,1.5036547056234753,0.7436332871602122
0.8,0.9,0.8666299483648882,1.4321034449845886,0.6630451896642023
0.8,1.0,0.9090361445783132,1.3239294000000001,0.51578
0.9,0.0,0.6070567986230637,1.8474545999999998,0.79521
0.9,0.1,0.6465886402753873,1.8474133219323494,0.8200454456594335
0.9,0.2,0.6861204819277109,1.8459660886430147,0.8354231264727967
0.9,0.3,0.7256523235800345,1.8420083482578025,0.8384882902917522
0.9,0.4,0.7651841652323581,1.8268133497403856,0.8384683339194621
0.9,0.5,0.8047160068846817,1.8053681539099262,0.8384210652341343
0.9,0.6000000000000001,0.8442478485370053,1.7781519390482758,0.8278669680705233
0.9,0.7000000000000001,0.8837796901893289,1.741859508818772,0.808782928664999
0.9,0.8,0.9233115318416524,1.692639407425383,0.7789084147288113
0.9,0.9,0.962843373493976,1.6242439247623734,0.7302196309761196
0.9,1.0,1.0023752151462997,1.5319686000000001,0.64669
1.0,0.0,0.7606368330464717,2.0670197999999997,0.81589
1.0,0.1,0.8001497418244407,2.058196145447711,0.828032868913937
1.0,0.2,0.8396626506024097,2.044721096325372,0.8335621449308864
1.0,0.3,0.8791755593803788,2.0277848435542203,0.8357977631769996
1.0,0.4,0.9186884681583476,2.007798768675816,0.8361222235279526
1.0,0.5,0.9582013769363168,1.978855306763136,0.8290655970845199
1.0,0.6000000000000001,0.9977142857142858,1.9519574670643374,0.8145302751284678
1.0,0.7000000000000001,1.0372271944922546,1.918807726015793,0.7948425487243493
1.0,0.8,1.0767401032702235,1.8608967150356004,0.7624073810895663
1.0,0.9,1.1162530120481928,1.75140485955587,0.6917758389695488
1.0,1.0,1.155765920826162,1.585947,0.56383
